점포명,유형,위치,위도,경도
동서로마트,준대규모 점포,"인천광역시 남동구 석산로 167, 지하1층 (간석동)",37.46078088,126.7105382
동보올리브백화점,백화점,"인천광역시 남동구 남동대로 880 (간석동, 올리브백화점)",37.46099995,126.7088646
비엘식자재마트,준대규모 점포,"인천광역시 남동구 남동대로 880, 지하1층 (간석동, 올리브백화점)",37.46099995,126.7088646
홈플러스익스프레스 주안점,준대규모 점포,인천광역시 미추홀구 석산로 42,37.46140386,126.6966793
킹식자재마트,준대규모 점포,"인천광역시 남동구 만수서로 56 (만수동,지하1층)",37.46143566,126.7322137
H&Y,식육판매업,"인천광역시 중구 용유서로 494, 양자강 301호 (을왕동)",37.46203007,126.3719999
보미리즌빌,그밖의 대규모점포,인천광역시 미추홀구 경원대로 890,37.46215949,126.6902375
제물포시장,전통시장,수봉로 33,37.46317797,126.6567712
심도유통,대형마트,인천광역시 남동구 용천로168번길 38 (간석동),37.46356682,126.71619
간석자유시장,전통시장,남동구 백범로 312-45,37.46410925,126.7150044
웰빙마트,준대규모 점포,"인천광역시 남동구 호구포로 920, 155호 (만수동)",37.46432915,126.7211804
지에스 더프레시 만수2점,준대규모 점포,"인천광역시 남동구 만수로 107, 1층 (만수동)",37.46474023,126.7377305
신흥 정육식당,식육판매업,인천광역시 중구 도원로7번길 6 (선화동),37.46550271,126.6361872
아이존,그밖의 대규모점포,인천광역시 미추홀구 염창로 58,37.46554181,126.6804649
홈플러스 인천숭의점,대형마트,인천광역시 미추홀구 석정로 51,37.46557816,126.6435306
간석홈마트,준대규모 점포,"인천광역시 남동구 석정로 501, 1층 (간석동)",37.46602113,126.6912716
숭의평화시장,전통시장,미추홀구 참전외로 309(숭의동),37.46636222,126.6461679
신흥시장,전통시장,중구 서해대로458번길 19-6,37.46653475,126.6363112
신신정육점,식육판매업,인천광역시 중구 도원로 23-13(선화동),37.46661298,126.636643
(주)이마트 (동인천점),식육판매업,인천광역시 중구 인중로 134 (신생동),37.46661872,126.6291789
발안닭집,식육판매업,인천광역시 중구 도원로 23-12(선화동),37.46681348,126.6365626
하나로 축산,식육판매업,"인천광역시 중구 제물량로 85, 2층 (신흥동2가)",37.46705199,126.633328
홈세일마트,준대규모 점포,"인천광역시 남동구 방축로 488-3, 스카이빌딩 1층 전부호 (간석동)",37.46708851,126.6922558
제물포골목형상점가,상점가,"미추홀구 석정로 202번길 12-17, 2층",37.4671317,126.657367
공단시장,전통시장,미추홀구 석정로 399,37.46724157,126.6801373
주식회사 두드림푸드,식육판매업,"인천광역시 중구 서해대로449번길 81, 1층 (신흥동1가)",37.46728276,126.6300136
루아축산,식육판매업,인천광역시 중구 서해대로464번길 7 (선화동),37.46731291,126.6366216
우리축산,식육판매업,인천광역시 중구 도산로 18 (도원동),37.46759984,126.6376949
도화종합시장,전통시장,미추홀구 석정로 279번길 7,37.46867866,126.6665058
모연홈마트,준대규모 점포,"인천광역시 남동구 동암남로26번길 39, 1층 일부호 (간석동, 청실프라자)",37.46903261,126.7063097
동서교역,식육판매업,인천광역시 중구 서해대로494번길 14-11 (도원동),37.46911509,126.6381722
앨리웨이 인천,그밖의 대규모점포,인천광역시 미추홀구 숙골로87번길5,37.4694746,126.6632619
이마트에브리데이 인천도화점,준대규모 점포,"인천광역시 미추홀구 숙골로88번길 12(도화동, 더샵인천스카이타워 1단지)",37.46953055,126.6645932
홈플러스(간석점),대형마트,"인천광역시 남동구 경원대로 971 (간석동, 홈플러스)",37.46958768,126.6891078
홈플러스(주)간석점,대형마트,인천광역시 남동구 경원대로 971 (간석동),37.46958768,126.6891078
양지정육식당,식육판매업,인천광역시 중구 제물량로166번길 1-13(신생동),37.47051459,126.6250139
개항누리길상점가,상점가,중구 우현로 35번길,37.47052046,126.6261836
엘림마트,식육판매업,"인천광역시 중구 서해대로483번길 38 (율목동,(2층))",37.47064455,126.6347763
대세정육점,식육판매업,인천광역시 중구 개항로96번길 34 (율목동),37.4708246,126.634118
김박사 고기시장,식육판매업,인천광역시 중구 우현로45번길 24 (신포동),37.47128862,126.6267713
고기나라,식육판매업,"인천광역시 중구 개항로 9, 대청도회 1층 (중앙동4가)",37.47135346,126.6237213
신포닭집,식육판매업,인천광역시 중구 우현로49번길 25 (신포동),37.47141233,126.6269715
신포국제시장,전통시장,중구 우현로 49번길 11-5(신포동) 일원,37.47146219,126.627812
항도정육점,식육판매업,인천광역시 중구 우현로49번길 29 (신포동),37.47148991,126.6267163
신포정육점,식육판매업,인천광역시 중구 우현로49번길 11 (신포동),37.47156548,126.6276781
제주축산물직매장,식육판매업,인천광역시 중구 우현로49번길 20-3 (내동),37.47170916,126.6271834
우리돈,식육판매업,인천광역시 중구 우현로49번길 12 (내동),37.47174207,126.6276756
모닝마트,식육판매업,"인천광역시 중구 개항로 98-1, 실크로드,다다홈,파인드아트 1층 (경동)",37.47196083,126.6335247
정원식품,식육판매업,"인천광역시 중구 큰우물로 6, 지하1층 (경동)",37.47229821,126.6319465
경동정육점,식육판매업,인천광역시 중구 참외전로152번길 10 (경동),37.47277858,126.6330903
열우물전통시장,전통시장,부평구 배곶남로21번길8,37.47354245,126.6951864
주식회사 임박사축산물미트,식육판매업,인천광역시 중구 우현로87번길 17 (인현동),37.47491003,126.629548
동인천상가,상점가,중구 자유공원로 11-1 일원,37.47519206,126.6297834
중앙시장,전통시장,동구 중앙로 68(송현동),37.47535282,126.6333451
송현자유시장,전통시장,동구 중앙로 78(송현동),37.47567382,126.632929
송림골 골목형상점가,상점가,인천 동구 송림동 60-5 외 62개 필지,37.4757629,126.6453388
송현시장,전통시장,동구 화도진로44번길18(송현동),37.47616144,126.6346428
대박정육점,식육판매업,"인천광역시 중구 흰바위로232번길 73, 101호 (운남동)",37.47753992,126.505731
차이나타운로상점가,상점가,중구  차이나타운로 20,37.47755661,126.6191085
동부시장,전통시장,동구 송림로109번길(송림동),37.47786101,126.6462198
현대시장,전통시장,동구 송림로109번길(송림동),37.47786101,126.6462198
송월알짜마트,식육판매업,인천광역시 중구 제물량로306번길 12 (북성동2가),37.47823671,126.6183343
전동정육점,식육판매업,"인천광역시 중구 참외전로72번길 3 (전동,마트 내 전동정육점)",37.47866928,126.6280241
인천축산물시장,전통시장,가좌로 96번길35 (가좌동 480-18),37.47899257,126.6884571
수문통로골목형상점가,상점가,인천 동구 수문통로 일원,37.47962732,126.6341427
착한 정육식당(영종점),식육판매업,"인천광역시 중구 흰바위로 236, 209호, 210호 (운남동)",37.4797416,126.5021462
화수시장,전통시장,동구 석수로 12 (화수동),37.47992758,126.627867
