점포명,유형,위치,위도,경도
서경백화점,백화점,인천광역시 서구 가정로 369(신현동 272-1번지),37.51795748,126.6725561
정서진중앙시장,전통시장,서구 원창로 239번길 10,37.51834262,126.6761693
갈산시장,전통시장,주부토로262번길 19-24,37.51875501,126.7283537
삼산시장,전통시장,후정동로 25번길8,37.51984888,126.7376662
루원이음길 골목형상점가,상점가,서구 가정로406번길 12~ 석곶로22번길 7-2일원(가정1동),37.52102298,126.6745213
아울렛아이즈빌,쇼핑센터,인천 부평구 마장로 489(청천동),37.52136374,126.7037206
롯데슈퍼 청라2점,준대규모 점포,인천광역시 서구 보석로 44 (청라동 104-9),37.52352808,126.6241084
GS 더프레시 루원리더스뷰점,준대규모 점포,"인천광역시 서구 봉오대로 270, 루원시티 SK리더스뷰2차 근린생활시설 302동 B239호~B245호",37.52391674,126.6802366
푸른솔빛 골목형상점가,상점가,서구 푸른로14번길 12 ~솔빛로 86 일원(청라3동),37.52424646,126.6288698
이마트에브리데이 인천sk리더스뷰점,준대규모 점포,"인천광역시 서구 가정로437, B242~B250호(가정동, 루원시티 SK리더스뷰)",37.52425246,126.6701177
이마트 에브리데이 경서점,준대규모 점포,인천광역시 서구 청라동 105-60(sk뷰아파트 정문건너편),37.52513842,126.6302692
루원음식문화거리 골목형상점가,상점가,서구 봉오재 3로 90~104일원(가정1동),37.52719445,126.6697465
(주)GS리테일 루원시티점,준대규모 점포,"인천광역시 서구 봉오재3로 66 (가정동, 루원시티프라디움) 2동 106호~111호(시티프라디움단지상가)",37.52747863,126.6643492
이마트 에브리데이 청라점,준대규모 점포,"인천광역시 서구 청라동 173-1 호반베르디움4차 301동 B01, B02, B08, B09, B10",37.52753293,126.6387486
롯데슈퍼 청라점,준대규모 점포,인천광역시 서구 청라루비로42번길 6-9 (청라동 176-1),37.52867046,126.641295
노브랜드 인천가정점,준대규모 점포,인천광역시 서구 청중로478번안길 4 (가정동) 1층(가정동),37.52933927,126.6650102
롯데마트 청라점,대형마트,인천광역시 서구 청라커낼로 252청라롯데캐슬 (청라동 159-1번지),37.53025357,126.6477824
작전시장,전통시장,계양구 봉오대로 677번길 7-1 일대,37.53154656,126.7239516
홈플러스 인천청라라점,대형마트,인천광역시 서구 중봉대로 587(청라동 157-22번지),37.5322692,126.6487535
홈플러스익스프레스 청라1점,준대규모 점포,인천광역시 서구 청라 풍림엑슬루상가(청라동 164-1 101~104호),37.5322692,126.6487535
노브랜드 인천청라스케어점,준대규모 점포,인천광역시 서구 청라루비로 76 (청라동) 101호~105호,37.532284,126.6420995
청라스퀘어세븐,쇼핑센터,인천광역시 서구 청라루비로 76(청라동 155-7),37.532284,126.6420995
하나로마트 청라점,준대규모 점포,"인천광역시 서구 청라에메랄드로 99, 지하1층(연희동, 지젤엠청라)",37.53360493,126.6557308
노브랜드 인천경서점,준대규모 점포,인천광역시 서구 청라커낼로288번길 16 (청라동),37.53388411,126.6463559
GS슈퍼마켓 청라라임점,준대규모 점포,인천광역시 서구 청라라임로 85 (청라동 160-1),37.53466394,126.6526145
GS슈퍼마켓 청라한울점,준대규모 점포,인천광역시 서구 청라한울로 96,37.53668834,126.6487592
홈플러스익스프레스 경서2점,준대규모 점포,인천광역시 서구 청라루비로144번길 6 (청라동 141-1),37.53788062,126.6412962
하이베라스상점가,상점가,계양구 계산새로 71(계산동),37.53878034,126.7358176
계산시장,전통시장,계양구 계산시장길 10-18 일대,37.5392795,126.7248527
이마트 에브리데이 심곡점,준대규모 점포,인천광역시 서구 심곡로 57 (심곡동 248-7),37.54238939,126.6760528
GS슈퍼마켓 서인천점,준대규모 점포,인천광역시 서구 탁옥로34번길 1 (심곡동 249-4),37.54371761,126.6738495
탁옥로 골목형상점가,상점가,서구 탁옥로 14~23 일원(심곡동),37.54388775,126.6709707
