auctn_seq,corp_cd,corp_gds_cd,corp_gds_item_nm,corp_gds_vrty_nm,corp_nm,gds_lclsf_cd,gds_lclsf_nm,gds_mclsf_cd,gds_mclsf_nm,gds_sclsf_cd,gds_sclsf_nm,mdfcn_dt,pkg_cd,pkg_nm,plor_cd,plor_nm,qty,scsbd_dt,scsbd_prc,spm_no,trd_clcln_ymd,trd_se,unit_cd,unit_nm,unit_qty,whsl_mrkt_cd,whsl_mrkt_nm
024,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:25:04,101,상자,526000,전라남도 영암군,23.000,2026-05-18 07:51:03,26000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
023,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:25:04,101,상자,526000,전라남도 영암군,5.000,2026-05-18 07:51:03,30000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
022,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:04:12,101,상자,526000,전라남도 영암군,5.000,2026-05-18 07:51:03,30000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
021,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:04:12,101,상자,526000,전라남도 영암군,6.000,2026-05-18 07:51:03,30000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
020,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:25:04,101,상자,526000,전라남도 영암군,6.000,2026-05-18 07:51:03,30000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
019,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:04:12,101,상자,526000,전라남도 영암군,10.000,2026-05-18 07:51:03,30000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
018,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:25:04,101,상자,526000,전라남도 영암군,10.000,2026-05-18 07:51:03,30000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
017,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:04:12,101,상자,526000,전라남도 영암군,13.000,2026-05-18 07:51:03,27000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
016,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:25:04,101,상자,526000,전라남도 영암군,14.000,2026-05-18 07:51:03,27000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
015,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:25:04,101,상자,526000,전라남도 영암군,14.000,2026-05-18 07:51:03,27000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
014,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:04:12,101,상자,526000,전라남도 영암군,13.000,2026-05-18 07:51:03,25000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
013,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:25:04,101,상자,526000,전라남도 영암군,13.000,2026-05-18 07:51:03,25000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
012,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:04:12,101,상자,526000,전라남도 영암군,14.000,2026-05-18 07:51:03,25000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
011,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:04:12,101,상자,526000,전라남도 영암군,5.000,2026-05-18 07:51:03,33000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
010,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:04:12,101,상자,526000,전라남도 영암군,6.000,2026-05-18 07:51:03,33000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
009,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:04:12,101,상자,526000,전라남도 영암군,6.000,2026-05-18 07:51:03,33000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
008,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:25:04,101,상자,526000,전라남도 영암군,6.000,2026-05-18 07:51:03,33000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
007,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:25:04,101,상자,526000,전라남도 영암군,3.000,2026-05-18 07:51:03,35000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
006,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:25:04,101,상자,526000,전라남도 영암군,3.000,2026-05-18 07:51:03,35000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
005,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:04:12,101,상자,526000,전라남도 영암군,3.000,2026-05-18 07:51:03,35000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
004,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:25:04,101,상자,526000,전라남도 영암군,2.000,2026-05-18 07:51:03,35000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
003,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:25:04,101,상자,526000,전라남도 영암군,2.000,2026-05-18 07:51:03,35000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
002,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:25:04,101,상자,526000,전라남도 영암군,2.000,2026-05-18 07:51:03,35000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
001,23000302,15101,서류,밤고구마,㈜경인농산,05,서류,02,고구마,01,밤고구마,2026-05-18 08:25:04,101,상자,526000,전라남도 영암군,3.000,2026-05-18 07:51:03,33000.000,40101,2026-05-18,경매,12,kg,10.000,230003,인천삼산
10,23000303,003003013001,갓,돌산갓,인천원협삼산(공),10,엽경채류,13,갓,06,돌산갓,2026-05-18 08:47:19,111,단,410000,경기도 고양시,100.000,2026-05-18 07:49:08,2000.000,1014,2026-05-18,경매,12,kg,2.000,230003,인천삼산
